id;validateur;numero_accord;date_arrivee
1;green;Poitou-Charentes Pompe;2023-03-15
2;Account distributed Bourgogne;sky Rustic didactic;2023-03-14
3;Generic;Grocery;2023-03-14
4;strategic;Electronics platforms;2023-03-15
5;Borders;program Saint-Séverin;2023-03-14
6;user-centric;Consultant;2023-03-14
7;b;compressing Cambridgeshire con;2023-03-14
8;Botswana known;deposit circuit Saint-Bernard;2023-03-14
9;system Cambridgeshire;Concrete foreground encryption;2023-03-14
10;paradigm Avon;Bacon;2023-03-14
