id;date_prevue;date_examen;etat;lieu_examen;mini_dossier
1;2023-03-15;2023-03-14;ETAT2;Berkshire;Île-de-France Picardie Baby
2;2023-03-15;2023-03-14;ETAT2;Bahamas white;Tasty
3;2023-03-15;2023-03-15;ETAT1;violet Stagiaire Optional;virtual Plastic mesh
4;2023-03-14;2023-03-15;ETAT1;Stagiaire;Oberkampf artificial Midi-Pyrénées
5;2023-03-15;2023-03-14;ETAT2;national Haute-Normandie Nord-Pas-de-Calais;users Concrete Cheese
6;2023-03-14;2023-03-15;ETAT1;state SSL;Streamlined
7;2023-03-15;2023-03-14;ETAT1;synthesize;Cambridgeshire neutral
8;2023-03-15;2023-03-15;ETAT2;Optimized Frozen strategy;b Personal
9;2023-03-14;2023-03-14;ETAT1;Keyboard;Berkshire
10;2023-03-15;2023-03-14;ETAT2;Account withdrawal;Horizontal Berkshire payment
