id;numero_offre;date_offre;date_depot;etat_offre;type_offre;singnataire
1;SAS Account digital;2023-03-15;2023-03-15;ETAT2;TYPE2;Savings Sports generate
2;port background;2023-03-15;2023-03-14;ETAT2;TYPE2;Games innovative Bedfordshire
3;stable;2023-03-14;2023-03-14;ETAT2;TYPE1;bandwidth
4;services HTTP Salad;2023-03-14;2023-03-15;ETAT2;TYPE1;Intelligent Tobago
5;sky;2023-03-14;2023-03-15;ETAT2;TYPE1;PNG protocol
6;generate Small;2023-03-15;2023-03-15;ETAT1;TYPE1;Computers
7;Saussaies;2023-03-14;2023-03-14;ETAT2;TYPE1;microchip b
8;yellow;2023-03-14;2023-03-14;ETAT2;TYPE2;overriding deposit SMTP
9;Awesome payment Shoes;2023-03-14;2023-03-14;ETAT2;TYPE1;Loan scalable
10;green Assistant;2023-03-14;2023-03-15;ETAT2;TYPE2;24/365 task-force
