id;nom_poste;numero_poste;diponible;type_poste
1;Computer Handmade;Tools payment Tonga;true;TYPEPOSTE2
2;primary;Bulgarie Incredible parse;false;TYPEPOSTE2
3;portals Administrateur virtual;Tilsitt a;true;TYPEPOSTE2
4;Oberkampf;Saudi a USB;false;TYPEPOSTE2
5;neutral transmit Beauty;synthesizing radical;false;TYPEPOSTE2
6;withdrawal Programmable deposi;access Movies;false;TYPEPOSTE2
7;context-sensitive Avon Intelli;feed mesh;true;TYPEPOSTE1
8;sensor synergies Manager;generation;true;TYPEPOSTE1
9;Administrateur Chicken;Gorgeous wireless;true;TYPEPOSTE2
10;back-end Tasty;synergy Ball;false;TYPEPOSTE2
